stim_n,sentence_type,condition,prompt,sentence,color,stim_loop.thisRepN,stim_loop.thisTrialN,stim_loop.thisN,stim_loop.thisIndex,fillers_loop.thisRepN,fillers_loop.thisTrialN,fillers_loop.thisN,fillers_loop.thisIndex,text_stim_stim_n.started,text_stim_stim_n.stopped,text_stim_sentence_type.started,text_stim_sentence_type.stopped,text_stim_condition.started,text_stim_condition.stopped,text_stim_prompt.started,text_stim_prompt.stopped,text_stim_sentence.started,text_stim_sentence.stopped,participant,session,date,expName,psychopyVersion,frameRate,
39,question,C,filler,¿El estudiante toma apuntes?,white,,,,,0,38,38,38,707.8025210180203,None,707.8025210180203,None,707.8025210180203,None,707.8025210180203,None,707.816898532008,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
40,question,A,filler,¿La chica abre su libro?,white,,,,,0,39,39,39,711.8069560370059,None,711.8069560370059,None,711.8069560370059,None,711.8069560370059,None,711.834301156021,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
41,question,B,filler,¿Sandra corre en el parque?,white,,,,,0,40,40,40,715.8504727070103,None,715.8504727070103,None,715.8504727070103,None,715.8504727070103,None,715.8678346369998,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
42,question,A,filler,¿Mi amigo no comía pollo?,white,,,,,0,41,41,41,719.8205125410168,None,719.8205125410168,None,719.8205125410168,None,719.8205125410168,None,719.8573253799987,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
43,question,C,filler,¿Carlos escribe una carta?,white,,,,,0,42,42,42,724.7685013760056,None,724.7685013760056,None,724.7685013760056,None,724.7685013760056,None,724.8011111300148,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
44,question,A,filler,¿Jose visitaba la playa?,white,,,,,0,43,43,43,728.6876529010187,None,728.6876529010187,None,728.6876529010187,None,728.6876529010187,None,728.7199413860217,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
45,question,B,filler,¿Mi hermano cierra la puerta?,white,,,,,0,44,44,44,733.3021161750075,None,733.3021161750075,None,733.3021161750075,None,733.3021161750075,None,733.3371848179959,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
46,question,A,filler,¿El chico escribía una carta?,white,,,,,0,45,45,45,742.5734417850035,None,742.5734417850035,None,742.5734417850035,None,742.5734417850035,None,742.5865639120166,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
47,question,C,filler,¿Mi vecino trae comida?,white,,,,,0,46,46,46,747.2383109689981,None,747.2383109689981,None,747.2383109689981,None,747.2383109689981,None,747.2536797560169,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
48,question,A,filler,¿Carlos trae a sus hijos? ,white,,,,,0,47,47,47,751.2866247259954,None,751.2866247259954,None,751.2866247259954,None,751.2866247259954,None,751.3043658920215,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
49,question,B,filler,¿Jaime tenía una tienda?,white,,,,,0,48,48,48,755.6063813070068,None,755.6063813070068,None,755.6063813070068,None,755.6063813070068,None,755.640021033003,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
50,question,A,filler,¿Juan quiere un bistec?,white,,,,,0,49,49,49,760.4895765870169,None,760.4895765870169,None,760.4895765870169,None,760.4895765870169,None,760.5563941840082,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
51,question,A,filler,¿Carolina baila flamenco? ,white,,,,,0,50,50,50,765.027887061995,None,765.027887061995,None,765.027887061995,None,765.027887061995,None,765.0715675080137,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
52,question,B,filler,¿Mi familia cenaba tarde?,white,,,,,0,51,51,51,769.4042742290185,None,769.4042742290185,None,769.4042742290185,None,769.4042742290185,None,769.4391897160094,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
53,question,C,filler,¿Pablo lavaba su coche? ,white,,,,,0,52,52,52,773.5222572979983,None,773.5222572979983,None,773.5222572979983,None,773.5222572979983,None,773.5553076369979,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
54,question,A,filler,¿El equipo gana la competencia?,white,,,,,0,53,53,53,778.7217437179934,None,778.7217437179934,None,778.7217437179934,None,778.7217437179934,None,778.7564912890084,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
55,question,C,filler,¿Rogelio cuida a los niños? ,white,,,,,0,54,54,54,787.6728625780088,None,787.6728625780088,None,787.6728625780088,None,787.6728625780088,None,787.7068683050165,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
56,question,A,filler,¿Maria se peina en la mañana?,white,,,,,0,55,55,55,794.2244125300203,None,794.2244125300203,None,794.2244125300203,None,794.2244125300203,None,794.2573489829956,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
57,question,B,filler,¿Lucía compra el jabón?,white,,,,,0,56,56,56,798.6061998630175,None,798.6061998630175,None,798.6061998630175,None,798.6061998630175,None,798.6446771259943,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
58,question,A,filler,¿A Jaime le gusta su piso?,white,,,,,0,57,57,57,802.7584650719946,None,802.7584650719946,None,802.7584650719946,None,802.7584650719946,None,802.7898030770011,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
59,question,C,filler,¿Isabel puede apagar la luz?,white,,,,,0,58,58,58,807.5398318649968,None,807.5398318649968,None,807.5398318649968,None,807.5398318649968,None,807.5579676350171,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
60,question,A,filler,¿Felipe no tiene contraseña?,white,,,,,0,59,59,59,812.6911560900044,None,812.6911560900044,None,812.6911560900044,None,812.6911560900044,None,812.7072860629996,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
61,question,B,filler,¿El estudiante practica deportes?,white,,,,,0,60,60,60,817.0112097439996,None,817.0112097439996,None,817.0112097439996,None,817.0112097439996,None,817.0427056020126,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
62,question,A,filler,¿Sofia no quiere la revista?,white,,,,,0,61,61,61,821.2750274529972,None,821.2750274529972,None,821.2750274529972,None,821.2750274529972,None,821.2918501470122,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
63,question,C,filler,¿Mi esposo conoce al chico?,white,,,,,0,62,62,62,825.9268810850044,None,825.9268810850044,None,825.9268810850044,None,825.9268810850044,None,825.9593922600034,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
64,question,A,filler,¿Mi hija prefiere los perros?,white,,,,,0,63,63,63,830.4093265760166,None,830.4093265760166,None,830.4093265760166,None,830.4093265760166,None,830.4421686480055,None,spain,001,2020_Nov_24_1031,text_stim_for_audio,2020.2.4,59.37668717037223,
